Position;Compound
B2;4_Amanitin.1
D8;4_Amanitin.2
F4;4_Amanitin.3
G10;4_Amanitin.4
B3;4_Apicidin.1
D9;4_Apicidin.2
F5;4_Apicidin.3
G11;4_Apicidin.4
B4;4_ArgyrinA.1
D10;4_ArgyrinA.2
F6;4_ArgyrinA.3
G2;4_ArgyrinA.4
B5;4_Camptothecin.1
D11;4_Camptothecin.2
F7;4_Camptothecin.3
G3;4_Camptothecin.4
C8;4_ChondramidC.1
D3;4_ChondramidC.2
E4;4_ChondramidC.3
F9;4_ChondramidC.4
B8;4_Colchicine.1
D4;4_Colchicine.2
F10;4_Colchicine.3
G5;4_Colchicine.4
B9;4_CruentarenA.1
C5;4_CruentarenA.1
E5;4_CruentarenA.3
G6;4_CruentarenA.4
E11;4_DMSO_E11
F11;4_DMSO_F11
B10;4_Emetine.1
C6;4_Emetine.2
E2;4_Emetine.3
G7;4_Emetine.4
B7;4_nichtfunktionstüchtig
D7;4_nichtfunktionstüchtig
C2;4_Nocodazole.1
D6;4_Nocodazole.2
E10;4_Nocodazole.3
F2;4_Nocodazole.4
C3;4_Oxamflatin.1
C10;4_Oxamflatin.2
E3;4_Oxamflatin.3
E9;4_Oxamflatin.4
B6;4_Soraphen.1
D2;4_Soraphen.2
F8;4_Soraphen.3
G4;4_Soraphen.4
B11;4_Trichostatin.1
D5;4_Trichostatin.2
E6;4_Trichostatin.3
G8;4_Trichostatin.4
C7;4_Tunicamycin.1
C9;4_Tunicamycin.2
E7;4_Tunicamycin.3
F3;4_Tunicamycin.4
