"";"groupmatch";"group.score"
"15";"Chelerythrine";1
"28";"H89";1
"48";"SaframycinMx1";1
"54";"Staurosporine";1
"60";"Wortmannin";1
"19";"Cycloheximide";0,925
"14";"Cerulenin";0,916666666666667
"7";"Apicidin";0,833333333333333
"57";"TubulysinB";0,785714285714286
"2";"ActinomycinD";0,755555555555556
"5";"Anisomycin";0,680735930735931
"32";"Mevastatin";0,675
"45";"Rapamycin";0,642794705294705
"47";"Rhizopodin";0,545425940646529
"21";"Cytochalasin";0,541666666666667
"23";"Emetine";0,5
"41";"PD169316";0,490878938640133
"20";"CyclosporinA";0,481045751633987
"16";"ChondramidC";0,453030303030303
"33";"MG132";0,443124117519279
"44";"PurvalanolA";0,439516129032258
"4";"Amanitin";0,437735849056604
"42";"Podophyllotoxin";0,432845383472249
"11";"Bortezomib";0,424300311303752
"58";"Vinblastin";0,420278637770898
"43";"Puromycin";0,416480857315703
"29";"Indirubin3monoxime";0,396868908382066
"17";"Colchicine";0,393289364154447
"3";"Alsterpaullone";0,388753524959185
"1";"A23187";0,363146997929607
"8";"Apicularen";0,324872310787804
"34";"Myriaporone";0,291551589813348
"35";"MyxothiazolA";0,277685413504076
"50";"SB203580";0,261508264997284
"51";"Scriptaid";0,260504201680672
"56";"Trichostatin";0,238898305084746
"37";"Nocodazol";0,238649845154553
"59";"Vioprolide";0,230431048075886
"25";"Etoposide";0,199534044386986
"27";"Griseofulvin";0,193103902953587
"13";"CCCP";0,183583959899749
"49";"SB202190";0,177510280028584
"53";"Soraphen";0,177104377104377
"10";"ArgyrinA";0,174561403508772
"6";"Aphidicolin";0,153003423591659
"52";"Simvastatin";0,142815517815518
"24";"EpothiloneB";0,135102548482079
"26";"GephyronicAcidA";0,131216367026737
"38";"OkadaicAcid";0,106482319012376
"31";"Methotrexate";0,103817720401633
"12";"Camptothecin";0,100299744072337
"46";"RatjadonC";0,0859605868131264
"55";"Taxol";0,0708858650125124
"30";"LY294002";0,0632620301453163
"22";"Doxorubicin";0,0558335757828704
"18";"CruentarenA";0,0545505113715377
"39";"Oligomycin";0,0538105441881184
"40";"Oxamflatin";0,0514741047765179
"36";"Neopeltolide";0,0459716575218095
"9";"ArchazolidB";0,0348333331602072
